1.wav,"okay, we'll time this stop"
1_op_suffix_please.wav,"this'll be our benchmark pit stop, race pace on the in-lap and the out-lap"
2.wav,"okay, we'll use this stop as a benchmark"
2_op_prefix_ok.wav,"this is our benchmark stop, we'll be timing the in-lap and the out-lap, race pace"
3.wav,"okay, this is our benchmark stop, race pace until sector 2"
3_op_prefix_ok.wav,"we need race pace on the in-lap and the out-lap, this'll be our benchmark"
4.wav,"okay, race pace on the outlap until sector 2, this'll be our benchmark stop"
5.wav,"understood, we'll time this stop, use it as a benchmark"
5_op_suffix_please.wav,"this is our benchmark pit stop, we need race pace on the in-lap and the out-lap"
6.wav,"acknowledged, we'll time this stop, race pace on the in-lap and out-lap until sector 2, please"
